longitud,latitud,tipo
-70.2528341388443,-27.4087945395296,P;D
-70.254272630916,-27.411220931169,P;D
-70.3432622096846,-27.3937870921841,P;D
-70.340439902797,-27.3920450495319,P;D
-70.3176341335579,-27.4162350071985,P;D
-70.3198296161068,-27.4172452730571,P;D
-70.3245208165072,-27.4166372115481,P;D
-70.3459956583462,-27.4066315008067,P;D
-70.3441857619308,-27.403430882883,P;D
-70.3873684154491,-27.4183826767919,P;D
-70.2902779214746,-27.378418077774,P;D
-70.346140692367,-27.3965940696979,P;D
-70.3456892264198,-27.3965840286783,P;D
-70.3453259879994,-27.3965682139104,P;D
-70.3449729166427,-27.3962176185011,P;D
-70.3588408691009,-27.4115123926343,P;D
-70.2661276366533,-27.3762528344425,P;D
-70.3152796706359,-27.4251307510671,P;D
-70.3150778540282,-27.4246592697566,P;D
-70.3159260734598,-27.4243924309096,P;D
-70.2905689373007,-27.3788716360132,P;D
-69.2802789096918,-26.8368910439144,P;D
-70.3369138676889,-27.3911149337763,P;D
-70.3428888985387,-27.3897602979675,P;D
-70.3559073267889,-27.4142273562852,P;D
-70.3561686999971,-27.4147073315603,P;D
-70.3454562672925,-27.3673484751454,P;D
-70.3499250409557,-27.3659158959424,P;D
-70.3620222475664,-27.3530231016268,P;D
-70.3720761518122,-27.3537117831833,P;D
-70.3434362873091,-27.366288137881,P;D
-70.3697659918977,-27.3523791275332,P;D
-70.3134915445463,-27.4177599437115,P;D
-70.3127356363783,-27.4161489097849,P;D
-70.3117368090935,-27.4157218962757,P;D
-70.31230206409,-27.4512280166016,P;D
-70.3125422550668,-27.4509054413213,P;D
-70.3202374861896,-27.4058648674277,P;D
-70.3209194199864,-27.4026477423423,P;D
-70.3188183797033,-27.4032636610436,P;D
-70.3121551268084,-27.4283781202574,P;D
-70.348787095619,-27.4004105512993,P;D
-70.3875539413903,-27.4181203916704,P;D
-70.3876833675604,-27.4179381468949,P;D
-70.3299134046928,-27.3898641007524,P;D
-70.330409698716,-27.3915257728689,P;D
-70.3367646359532,-27.3884309243906,P;D
-70.3445715911483,-27.3688849175337,P;D
-70.3153026076337,-27.4184236005983,P;D
-70.3151487549127,-27.4178873356795,P;D
-70.315197112903,-27.4174120996922,P;D
-70.314201747615,-27.418340721134,P;D
-70.3077045838074,-27.4042210328751,P;D
-70.308752920174,-27.4032548366737,P;D
-70.3060643276974,-27.4049014637362,P;D
-70.3550879214409,-27.3540619930259,P;D
-70.264037615937,-27.4265142233386,P;D
-70.2630299299777,-27.4261148174614,P;D
-70.3523592071343,-27.4048161142602,P;D
-70.3628011689973,-27.4113014909016,P;D
-70.3361343959362,-27.3864764269324,P;D
-70.3505476488199,-27.40544884994,P;D
-70.3515230417405,-27.4055799027869,P;D
-70.3123824167464,-27.394974320893,P;D
-70.3128806926648,-27.3956044677313,P;D
-70.3135392124893,-27.3963127038261,P;D
-70.6430097756369,-27.4076796173698,P;D
-70.3539262184594,-27.3553069272613,P;D
-70.3529262728301,-27.4061491981435,P;D
-70.342904361336,-27.3919186526301,P;D
-70.3341320488817,-27.3735740918569,P;D
-70.2941596664837,-27.4187174730737,P;D
-70.3274528178917,-27.3811280344225,P;D
-70.3553219294226,-27.4089392410082,P;D
-70.3402566295801,-27.3892604672689,P;D
-70.34134622951,-27.3878658336479,P;D
-70.3541232260285,-27.4064103397095,P;D
-70.48427282064993,-28.138699611109942,P
-70.44025606375993,-28.138699611109942,P
-70.39623930686993,-28.138699611109942,P
-70.35222254997993,-28.138699611109942,P
-70.30820579308993,-28.138699611109942,P
-70.26418903619992,-28.138699611109942,P
-70.22017227930992,-28.138699611109942,P
-70.17615552241992,-28.138699611109942,P
-70.13213876552992,-28.138699611109942,P
-70.08812200863991,-28.138699611109942,P
-70.52828957753994,-28.094682854219943,P
-70.48427282064993,-28.094682854219943,P
-70.44025606375993,-28.094682854219943,P
-70.39623930686993,-28.094682854219943,P
-70.35222254997993,-28.094682854219943,P
-70.30820579308993,-28.094682854219943,P
-70.26418903619992,-28.094682854219943,P
-70.22017227930992,-28.094682854219943,P
-70.17615552241992,-28.094682854219943,P
-70.13213876552992,-28.094682854219943,P
-70.08812200863991,-28.094682854219943,P
-70.96845714643996,-28.050666097329945,P
-70.92444038954996,-28.050666097329945,P
-70.88042363265996,-28.050666097329945,P
-70.83640687576995,-28.050666097329945,P
-70.79239011887995,-28.050666097329945,P
-70.66033984820994,-28.050666097329945,P
-70.61632309131994,-28.050666097329945,P
-70.57230633442994,-28.050666097329945,P
-70.52828957753994,-28.050666097329945,P
-70.48427282064993,-28.050666097329945,P
-70.44025606375993,-28.050666097329945,P
-70.39623930686993,-28.050666097329945,P
-70.35222254997993,-28.050666097329945,P
-70.30820579308993,-28.050666097329945,P
-70.26418903619992,-28.050666097329945,P
-70.22017227930992,-28.050666097329945,P
-70.17615552241992,-28.050666097329945,P
-70.13213876552992,-28.050666097329945,P
-70.96845714643996,-28.006649340439946,P
-70.92444038954996,-28.006649340439946,P
-70.88042363265996,-28.006649340439946,P
-70.83640687576995,-28.006649340439946,P
-70.79239011887995,-28.006649340439946,P
-70.74837336198995,-28.006649340439946,P
-70.70435660509995,-28.006649340439946,P
-70.66033984820994,-28.006649340439946,P
-70.61632309131994,-28.006649340439946,P
-70.57230633442994,-28.006649340439946,P
-70.52828957753994,-28.006649340439946,P
-70.48427282064993,-28.006649340439946,P
-70.44025606375993,-28.006649340439946,P
-70.39623930686993,-28.006649340439946,P
-70.35222254997993,-28.006649340439946,P
-70.30820579308993,-28.006649340439946,P
-70.26418903619992,-28.006649340439946,P
-70.22017227930992,-28.006649340439946,P
-70.17615552241992,-28.006649340439946,P
-70.13213876552992,-28.006649340439946,P
-71.10050741710997,-27.962632583549947,P
-71.05649066021996,-27.962632583549947,P
-71.01247390332996,-27.962632583549947,P
-70.96845714643996,-27.962632583549947,P
-70.92444038954996,-27.962632583549947,P
-70.88042363265996,-27.962632583549947,P
-70.83640687576995,-27.962632583549947,P
-70.79239011887995,-27.962632583549947,P
-70.74837336198995,-27.962632583549947,P
-70.70435660509995,-27.962632583549947,P
-70.66033984820994,-27.962632583549947,P
-70.61632309131994,-27.962632583549947,P
-70.57230633442994,-27.962632583549947,P
-70.52828957753994,-27.962632583549947,P
-70.48427282064993,-27.962632583549947,P
-70.44025606375993,-27.962632583549947,P
-70.39623930686993,-27.962632583549947,P
-70.35222254997993,-27.962632583549947,P
-70.30820579308993,-27.962632583549947,P
-70.26418903619992,-27.962632583549947,P
-70.22017227930992,-27.962632583549947,P
-70.17615552241992,-27.962632583549947,P
-71.10050741710997,-27.91861582665995,P
-71.05649066021996,-27.91861582665995,P
-71.01247390332996,-27.91861582665995,P
-70.96845714643996,-27.91861582665995,P
-70.92444038954996,-27.91861582665995,P
-70.88042363265996,-27.91861582665995,P
-70.83640687576995,-27.91861582665995,P
-70.79239011887995,-27.91861582665995,P
-70.74837336198995,-27.91861582665995,P
-70.70435660509995,-27.91861582665995,P
-70.66033984820994,-27.91861582665995,P
-70.61632309131994,-27.91861582665995,P
-70.57230633442994,-27.91861582665995,P
-70.52828957753994,-27.91861582665995,P
-70.48427282064993,-27.91861582665995,P
-70.44025606375993,-27.91861582665995,P
-70.39623930686993,-27.91861582665995,P
-70.35222254997993,-27.91861582665995,P
-70.30820579308993,-27.91861582665995,P
-70.26418903619992,-27.91861582665995,P
-70.22017227930992,-27.91861582665995,P
-71.10050741710997,-27.87459906976995,P
-71.05649066021996,-27.87459906976995,P
-71.01247390332996,-27.87459906976995,P
-70.96845714643996,-27.87459906976995,P
-70.92444038954996,-27.87459906976995,P
-70.88042363265996,-27.87459906976995,P
-70.83640687576995,-27.87459906976995,P
-70.79239011887995,-27.87459906976995,P
-70.74837336198995,-27.87459906976995,P
-70.70435660509995,-27.87459906976995,P
-70.66033984820994,-27.87459906976995,P
-70.61632309131994,-27.87459906976995,P
-70.57230633442994,-27.87459906976995,P
-70.52828957753994,-27.87459906976995,P
-70.48427282064993,-27.87459906976995,P
-70.44025606375993,-27.87459906976995,P
-70.39623930686993,-27.87459906976995,P
-70.35222254997993,-27.87459906976995,P
-70.30820579308993,-27.87459906976995,P
-70.22017227930992,-27.87459906976995,P
-71.05649066021996,-27.83058231287995,P
-71.01247390332996,-27.83058231287995,P
-70.96845714643996,-27.83058231287995,P
-70.92444038954996,-27.83058231287995,P
-70.83640687576995,-27.83058231287995,P
-70.79239011887995,-27.83058231287995,P
-70.74837336198995,-27.83058231287995,P
-70.70435660509995,-27.83058231287995,P
-70.66033984820994,-27.83058231287995,P
-70.61632309131994,-27.83058231287995,P
-70.57230633442994,-27.83058231287995,P
-70.52828957753994,-27.83058231287995,P
-70.48427282064993,-27.83058231287995,P;U
-70.44025606375993,-27.83058231287995,P
-70.39623930686993,-27.83058231287995,P
-70.35222254997993,-27.83058231287995,P
-70.30820579308993,-27.83058231287995,P
-71.05649066021996,-27.786565555989952,P
-71.01247390332996,-27.786565555989952,P
-70.96845714643996,-27.786565555989952,P
-70.70435660509995,-27.786565555989952,P
-70.66033984820994,-27.786565555989952,P
-70.61632309131994,-27.786565555989952,P
-70.57230633442994,-27.786565555989952,P
-70.52828957753994,-27.786565555989952,P
-70.48427282064993,-27.786565555989952,P
-70.44025606375993,-27.786565555989952,P;U
-70.39623930686993,-27.786565555989952,P;U
-70.35222254997993,-27.786565555989952,P
-71.01247390332996,-27.742548799099954,P
-70.96845714643996,-27.742548799099954,P
-70.92444038954996,-27.742548799099954,P
-70.74837336198995,-27.742548799099954,P
-70.70435660509995,-27.742548799099954,P
-70.66033984820994,-27.742548799099954,P
-70.61632309131994,-27.742548799099954,P
-70.57230633442994,-27.742548799099954,P
-70.52828957753994,-27.742548799099954,P
-70.48427282064993,-27.742548799099954,P
-70.44025606375993,-27.742548799099954,P;U
-70.39623930686993,-27.742548799099954,P;U
-70.35222254997993,-27.742548799099954,P;U
-71.01247390332996,-27.698532042209955,P
-70.96845714643996,-27.698532042209955,P
-70.74837336198995,-27.698532042209955,P
-70.70435660509995,-27.698532042209955,P
-70.66033984820994,-27.698532042209955,P
-70.61632309131994,-27.698532042209955,P
-70.57230633442994,-27.698532042209955,P
-70.52828957753994,-27.698532042209955,P
-70.48427282064993,-27.698532042209955,P
-70.44025606375993,-27.698532042209955,P;U
-70.39623930686993,-27.698532042209955,P;U
-70.35222254997993,-27.698532042209955,P
-70.74837336198995,-27.654515285319956,P
-70.70435660509995,-27.654515285319956,P
-70.66033984820994,-27.654515285319956,P
-70.61632309131994,-27.654515285319956,P
-70.57230633442994,-27.654515285319956,P
-70.52828957753994,-27.654515285319956,P
-70.48427282064993,-27.654515285319956,P;U
-70.44025606375993,-27.654515285319956,P;U
-70.39623930686993,-27.654515285319956,P;U
-70.74837336198995,-27.610498528429957,P
-70.70435660509995,-27.610498528429957,P
-70.66033984820994,-27.610498528429957,P
-70.61632309131994,-27.610498528429957,P
-70.57230633442994,-27.610498528429957,P;U
-70.52828957753994,-27.610498528429957,P;U
-70.48427282064993,-27.610498528429957,P;U
-70.44025606375993,-27.610498528429957,P
-70.39623930686993,-27.610498528429957,P
-69.8680382241899,-27.610498528429957,P
-69.8240214672999,-27.610498528429957,P
-69.7800047104099,-27.610498528429957,P
-69.7359879535199,-27.610498528429957,P
-69.60393768284989,-27.610498528429957,P
-70.74837336198995,-27.56648177153996,P
-70.70435660509995,-27.56648177153996,P
-70.66033984820994,-27.56648177153996,P;U
-70.61632309131994,-27.56648177153996,P;U
-70.57230633442994,-27.56648177153996,P;U
-70.52828957753994,-27.56648177153996,P;U
-70.48427282064993,-27.56648177153996,P;U
-70.44025606375993,-27.56648177153996,P
-70.39623930686993,-27.56648177153996,P
-69.8680382241899,-27.56648177153996,P
-69.8240214672999,-27.56648177153996,P
-69.7800047104099,-27.56648177153996,P
-69.7359879535199,-27.56648177153996,P
-69.6919711966299,-27.56648177153996,P
-69.64795443973989,-27.56648177153996,P
-69.60393768284989,-27.56648177153996,P
-70.74837336198995,-27.52246501464996,P
-70.70435660509995,-27.52246501464996,P;U
-70.66033984820994,-27.52246501464996,P;U
-70.61632309131994,-27.52246501464996,P;U
-70.57230633442994,-27.52246501464996,P;U
-70.52828957753994,-27.52246501464996,P;U
-70.48427282064993,-27.52246501464996,P;U
-70.44025606375993,-27.52246501464996,P
-70.39623930686993,-27.52246501464996,P
-70.04410525174991,-27.52246501464996,P
-69.9120549810799,-27.52246501464996,P
-69.8680382241899,-27.52246501464996,P
-69.8240214672999,-27.52246501464996,P
-69.7800047104099,-27.52246501464996,P
-69.7359879535199,-27.52246501464996,P
-69.6919711966299,-27.52246501464996,P
-69.64795443973989,-27.52246501464996,P
-69.60393768284989,-27.52246501464996,P
-69.55992092595989,-27.52246501464996,P
-68.98770308638986,-27.52246501464996,P
-68.94368632949985,-27.52246501464996,P
-70.74837336198995,-27.47844825775996,P
-70.70435660509995,-27.47844825775996,P;U
-70.66033984820994,-27.47844825775996,P;U
-70.61632309131994,-27.47844825775996,P;U
-70.57230633442994,-27.47844825775996,P;U
-70.52828957753994,-27.47844825775996,P;U
-70.48427282064993,-27.47844825775996,P
-70.44025606375993,-27.47844825775996,P
-70.39623930686993,-27.47844825775996,P
-70.35222254997993,-27.47844825775996,P
-70.13213876552992,-27.47844825775996,P
-70.08812200863991,-27.47844825775996,P
-70.04410525174991,-27.47844825775996,P
-70.00008849485991,-27.47844825775996,P
-69.9560717379699,-27.47844825775996,P
-69.9120549810799,-27.47844825775996,P
-69.8680382241899,-27.47844825775996,P
-69.8240214672999,-27.47844825775996,P
-69.7800047104099,-27.47844825775996,P
-69.7359879535199,-27.47844825775996,P
-69.6919711966299,-27.47844825775996,P
-69.64795443973989,-27.47844825775996,P
-69.60393768284989,-27.47844825775996,P
-69.55992092595989,-27.47844825775996,P
-68.98770308638986,-27.47844825775996,P
-70.70435660509995,-27.434431500869962,P
-70.66033984820994,-27.434431500869962,P
-70.61632309131994,-27.434431500869962,P
-70.57230633442994,-27.434431500869962,P;U
-70.52828957753994,-27.434431500869962,P;U
-70.48427282064993,-27.434431500869962,P
-70.44025606375993,-27.434431500869962,P
-70.39623930686993,-27.434431500869962,P
-70.35222254997993,-27.434431500869962,P
-70.30820579308993,-27.434431500869962,P
-70.17615552241992,-27.434431500869962,P
-70.13213876552992,-27.434431500869962,P
-70.08812200863991,-27.434431500869962,P
-70.04410525174991,-27.434431500869962,P
-70.00008849485991,-27.434431500869962,P
-69.9560717379699,-27.434431500869962,P
-69.9120549810799,-27.434431500869962,P
-69.8680382241899,-27.434431500869962,P
-69.8240214672999,-27.434431500869962,P
-69.7800047104099,-27.434431500869962,P
-69.7359879535199,-27.434431500869962,P
-69.6919711966299,-27.434431500869962,P
-69.64795443973989,-27.434431500869962,P
-69.60393768284989,-27.434431500869962,P
-69.55992092595989,-27.434431500869962,P
-69.07573660016986,-27.434431500869962,P
-69.03171984327986,-27.434431500869962,P;U
-68.98770308638986,-27.434431500869962,P
-68.94368632949985,-27.434431500869962,P
-70.70435660509995,-27.390414743979964,P
-70.66033984820994,-27.390414743979964,P
-70.61632309131994,-27.390414743979964,P
-70.57230633442994,-27.390414743979964,P
-70.52828957753994,-27.390414743979964,P
-70.48427282064993,-27.390414743979964,P
-70.44025606375993,-27.390414743979964,P
-70.39623930686993,-27.390414743979964,P
-70.35222254997993,-27.390414743979964,P
-70.30820579308993,-27.390414743979964,P;U
-70.26418903619992,-27.390414743979964,P
-70.22017227930992,-27.390414743979964,P
-70.17615552241992,-27.390414743979964,P
-70.13213876552992,-27.390414743979964,P
-70.08812200863991,-27.390414743979964,P
-70.04410525174991,-27.390414743979964,P
-70.00008849485991,-27.390414743979964,P
-69.9560717379699,-27.390414743979964,P
-69.9120549810799,-27.390414743979964,P
-69.8680382241899,-27.390414743979964,P
-69.8240214672999,-27.390414743979964,P
-69.7800047104099,-27.390414743979964,P
-69.7359879535199,-27.390414743979964,P
-69.6919711966299,-27.390414743979964,P
-69.64795443973989,-27.390414743979964,P
-69.60393768284989,-27.390414743979964,P
-69.55992092595989,-27.390414743979964,P
-69.51590416906988,-27.390414743979964,P
-69.03171984327986,-27.390414743979964,P;U
-68.98770308638986,-27.390414743979964,P
-68.94368632949985,-27.390414743979964,P
-68.89966957260985,-27.390414743979964,P
-70.74837336198995,-27.346397987089965,P
-70.70435660509995,-27.346397987089965,P
-70.66033984820994,-27.346397987089965,P
-70.61632309131994,-27.346397987089965,P
-70.57230633442994,-27.346397987089965,P
-70.52828957753994,-27.346397987089965,P
-70.48427282064993,-27.346397987089965,P
-70.44025606375993,-27.346397987089965,P
-70.39623930686993,-27.346397987089965,P
-70.35222254997993,-27.346397987089965,P;U
-70.30820579308993,-27.346397987089965,P
-70.26418903619992,-27.346397987089965,P
-70.22017227930992,-27.346397987089965,P
-70.17615552241992,-27.346397987089965,P
-70.13213876552992,-27.346397987089965,P
-70.08812200863991,-27.346397987089965,P
-70.04410525174991,-27.346397987089965,P
-70.00008849485991,-27.346397987089965,P
-69.9560717379699,-27.346397987089965,P
-69.9120549810799,-27.346397987089965,P
-69.8680382241899,-27.346397987089965,P
-69.8240214672999,-27.346397987089965,P
-69.7800047104099,-27.346397987089965,P
-69.7359879535199,-27.346397987089965,P
-69.6919711966299,-27.346397987089965,P
-69.64795443973989,-27.346397987089965,P
-69.60393768284989,-27.346397987089965,P
-69.55992092595989,-27.346397987089965,P
-69.51590416906988,-27.346397987089965,P
-69.07573660016986,-27.346397987089965,P
-69.03171984327986,-27.346397987089965,P
-68.98770308638986,-27.346397987089965,P
-68.94368632949985,-27.346397987089965,P
-68.89966957260985,-27.346397987089965,P
-70.70435660509995,-27.302381230199966,P
-70.66033984820994,-27.302381230199966,P
-70.61632309131994,-27.302381230199966,P
-70.57230633442994,-27.302381230199966,P
-70.52828957753994,-27.302381230199966,P
-70.48427282064993,-27.302381230199966,P;A
-70.44025606375993,-27.302381230199966,P
-70.39623930686993,-27.302381230199966,P
-70.35222254997993,-27.302381230199966,P
-70.30820579308993,-27.302381230199966,P
-70.26418903619992,-27.302381230199966,P
-70.22017227930992,-27.302381230199966,P
-70.17615552241992,-27.302381230199966,P
-70.13213876552992,-27.302381230199966,P
-70.08812200863991,-27.302381230199966,P
-70.04410525174991,-27.302381230199966,P
-70.00008849485991,-27.302381230199966,P
