Tp (ton),CTd (USD/km),CFdf (USD/ton),CSd  (USD),Klp (ton),KIp NO PESCAR,MCNTu (µg/m3),MCNTa (mg/l),CNT (µg/m3),alpha,beta f,DM (km),PS (USD),lambda k
208402.00,1500000.00,60.00,152501.25,203335.00,164659.00,20.00,2200.00,0.000027,0.17,0.80,1.00,100000000000.00,5.0
5716000.00,,15.00,2289954.00,3053272.00,2897766.00,,,,,0.30,,,4.00
26400.00,,25.00,13035.75,17381.00,23684.00,,,,,0.60,,,3.00
1500.00,,,1021.50,1362.00,822.00,,,,,,,,
7200.00,,,3732.00,4976.00,6201.00,,,,,,,,
403380.00,,,255672.75,340897.00,340897.00,,,,,,,,
108735.00,,,99351.00,132468.00,132468.00,,,,,,,,
280950.00,,,111699.75,148933.00,204875.00,,,,,,,,
162000.00,,,20.25,27.00,27.00,,,,,,,,
3840.00,,,2751.00,3668.00,3441.00,,,,,,,,
9606.00,,,3886.50,5182.00,7764.00,,,,,,,,
6075.00,,,2422.50,3230.00,3639.00,,,,,,,,
48975.00,,,24045.75,32061.00,36100.00,,,,,,,,
42300.00,,,18129.75,24173.00,29734.00,,,,,,,,
4200.00,,,2505.75,3341.00,3089.00,,,,,,,,
100000.00,,,46241.25,61655.00,64210.00,,,,,,,,
21300000.00,,,15933271.50,21244362.00,21244362.00,,,,,,,,
5976.00,,,3145.50,4194.00,4576.00,,,,,,,,
16137.00,,,11243.25,14991.00,15689.00,,,,,,,,
1827.00,,,988.50,1318.00,1696.00,,,,,,,,
8598.00,,,3639.00,4852.00,4802.00,,,,,,,,
842450.00,,,392957.25,523943.00,832126.00,,,,,,,,
47600.00,,,31959.75,42613.00,42613.00,,,,,,,,
70200.00,,,27564.75,36753.00,50022.00,,,,,,,,
5100.00,,,2344.50,3126.00,3126.00,,,,,,,,
3600.00,,,2634.75,3513.00,3401.00,,,,,,,,
4804007.00,,,3362820.00,4483760.00,4432146.00,,,,,,,,
2403100.00,,,1058093.25,1410791.00,1991466.00,,,,,,,,
4673812.00,,,2918037.75,3890717.00,3199422.00,,,,,,,,
297054.00,,,160611.75,214149.00,185549.00,,,,,,,,
2700.00,,,1452.00,1936.00,2433.00,,,,,,,,
773398.00,,,414924.75,553233.00,737634.00,,,,,,,,
4140.00,,,1818.75,2425.00,2952.00,,,,,,,,
6414.00,,,3695.25,4927.00,3249.00,,,,,,,,
12633.00,,,5705.25,7607.00,7011.00,,,,,,,,
3051.00,,,2046.00,2728.00,2539.00,,,,,,,,
1687.00,,,987.75,1317.00,1116.00,,,,,,,,
2262360.00,,,1365234.75,1820313.00,1819322.00,,,,,,,,
4196565.00,,,2927766.00,3903688.00,2833573.00,,,,,,,,
452829.00,,,288546.00,384728.00,257958.00,,,,,,,,
7177.00,,,3476.25,4635.00,3967.00,,,,,,,,
262500.00,,,178449.00,237932.00,162062.00,,,,,,,,
4800.00,,,3102.75,4137.00,4656.00,,,,,,,,
4640.00,,,2682.00,3576.00,2334.00,,,,,,,,
22800.00,,,11731.50,15642.00,16288.00,,,,,,,,
13128.00,,,6012.75,8017.00,7405.00,,,,,,,,
8400.00,,,4005.00,5340.00,6827.00,,,,,,,,
15956.00,,,10779.00,14372.00,13791.00,,,,,,,,
750.00,,,513.00,684.00,624.00,,,,,,,,
18000.00,,,8048.25,10731.00,13867.00,,,,,,,,
900.00,,,357.00,476.00,488.00,,,,,,,,
12462.00,,,5453.25,7271.00,8169.00,,,,,,,,
50721.00,,,35903.25,47871.00,49829.00,,,,,,,,
316192.00,,,118812.75,158417.00,218849.00,,,,,,,,
6450.00,,,3246.75,4329.00,6307.00,,,,,,,,
106500.00,,,60921.00,81228.00,77665.00,,,,,,,,
4500.00,,,2776.50,3702.00,2255.00,,,,,,,,
3750.00,,,1657.50,2210.00,1991.00,,,,,,,,
420743.00,,,238992.00,318656.00,318656.00,,,,,,,,
21960.00,,,12202.50,16270.00,19177.00,,,,,,,,
30000.00,,,20400.75,27201.00,27663.00,,,,,,,,
7800.00,,,3341.25,4455.00,3925.00,,,,,,,,
4200.00,,,2716.50,3622.00,2384.00,,,,,,,,
100800.00,,,58156.50,77542.00,100399.00,,,,,,,,
72000.00,,,40746.00,54328.00,70444.00,,,,,,,,
367740.00,,,242104.50,322806.00,347720.00,,,,,,,,
8824.00,,,5280.75,7041.00,4929.00,,,,,,,,
10500.00,,,6390.75,8521.00,8898.00,,,,,,,,
31902.00,,,15741.75,20989.00,28433.00,,,,,,,,
40950.00,,,19404.00,25872.00,35329.00,,,,,,,,
7200.00,,,0.00,0.00,6748.00,,,,,,,,
40800.00,,,21289.50,28386.00,32183.00,,,,,,,,
7200.00,,,0.00,0.00,5038.00,,,,,,,,
52680.00,,,23742.75,31657.00,40177.00,,,,,,,,
7200.00,,,0.00,0.00,6546.00,,,,,,,,
7200.00,,,0.00,0.00,6881.00,,,,,,,,
7200.00,,,0.00,0.00,5090.00,,,,,,,,
